11.0.0.0, 255.0.0.0, 10.1.0.1, eth9
200.200.200.0, 255.255.255.0, 190.164.1.2, eth0
160.23.33.0, 255.255.255.0, 128.12.1.223, eth6
160.23.0.0, 255.255.0.0, 128.11.1.1, eth8
160.23.32.0, 255.255.248.0, 129.1.2.1, eth8
160.23.31.1, 255.255.255.255, 120.1.1.1, eth9
200.200.200.128, 255.255.255.128, 190.164.2.3, eth1
200.200.16.0, 255.255.248.0, 192.13.2.55, eth4
200.200.200.0, 255.255.248.0, 192.13.2.55, eth4
0.0.0.0, 0.0.0.0, 12.23.44.1, eth9
20.128.0.0, 255.128.0.0, 12.1.1.1, eth1
20.0.0.0, 255.0.0.0, 12.1.1.1, eth2
20.0.0.0, 255.128.0.0, 12.1.1.1, eth3
20.0.0.0, 255.128.0.0, 12.1.1.1, eth4
172.16.0.0, 255.255.0.0, 0.0.0.0, eth5
